	id	city_id	source	parser	base_url	fetch_params	parse_params	clean_params	status
0	115	7_3473	sterlitamakcity.ru	PaginatedSiteParser	http://sterlitamakcity.ru/news.html?start={start}	"{""start"": [0, 10]}"	"{""text_markup"": ""div.article-content"", ""title_markup"": ""a.contentpagetitle"", ""url_markup"": ""a.contentpagetitle""}"	"{""delete"": [""Подробнее... \\d+ комментари.+""]}"	ACTIVE
1	116	7_495	mk.ru/moscow	PaginatedSiteParser	http://www.mk.ru/moscow/{page}/	"{""page"": [1, 2]}"	"{""text_markup"": ""ul.big_listing p.text"", ""title_markup"": ""ul.big_listing a.mkh2"", ""url_markup"": ""ul.big_listing a.mkh2""}"	{ }	ACTIVE
2	117	7_3852	news.yandex.ru/Barnaul	PaginatedSiteParser	https://news.yandex.ru/Barnaul/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
3	118	7_34766	news.yandex.ru/Blagoveshchensk	PaginatedSiteParser	https://news.yandex.ru/Blagoveshchensk/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
4	119	7_8182	news.yandex.ru/Arhangelsk	PaginatedSiteParser	https://news.yandex.ru/Arhangelsk/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
5	120	7_8512	news.yandex.ru/Astrahan	PaginatedSiteParser	https://news.yandex.ru/Astrahan/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
6	121	7_4722	news.yandex.ru/Belgorod	PaginatedSiteParser	https://news.yandex.ru/Belgorod/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
7	122	7_40143	news.yandex.ru/Bryansk	PaginatedSiteParser	https://news.yandex.ru/Bryansk/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
8	123	7_4922	news.yandex.ru/Vladimir	PaginatedSiteParser	https://news.yandex.ru/Vladimir/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
9	124	7_844	news.yandex.ru/Volgograd	PaginatedSiteParser	https://news.yandex.ru/Volgograd/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
10	125	7_8172	news.yandex.ru/Vologda	PaginatedSiteParser	https://news.yandex.ru/Vologda/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
11	126	7_4732	news.yandex.ru/Voronezh	PaginatedSiteParser	https://news.yandex.ru/Voronezh/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
12	127	7_42622	news.yandex.ru/Birobidgan	PaginatedSiteParser	https://news.yandex.ru/Birobidgan/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
13	128	7_3022	news.yandex.ru/Chita	PaginatedSiteParser	https://news.yandex.ru/Chita/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
14	129	7_35147	news.yandex.ru/Ivanovo	PaginatedSiteParser	https://news.yandex.ru/Ivanovo/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
15	130	7_3952	news.yandex.ru/Irkutsk	PaginatedSiteParser	https://news.yandex.ru/Irkutsk/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
16	131	7_86622	news.yandex.ru/Nalchik	PaginatedSiteParser	https://news.yandex.ru/Nalchik/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
17	132	7_4012	news.yandex.ru/Kaliningrad	PaginatedSiteParser	https://news.yandex.ru/Kaliningrad/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
18	133	7_4842	news.yandex.ru/Kaluga	PaginatedSiteParser	https://news.yandex.ru/Kaluga/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
19	134	7_87822	news.yandex.ru/Cherkessk	PaginatedSiteParser	https://news.yandex.ru/Cherkessk/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
20	135	7_3842	news.yandex.ru/Kemerovo	PaginatedSiteParser	https://news.yandex.ru/Kemerovo/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
21	136	7_34357	news.yandex.ru/Kirov	PaginatedSiteParser	https://news.yandex.ru/Kirov/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
22	137	7_40157	news.yandex.ru/Kostroma	PaginatedSiteParser	https://news.yandex.ru/Kostroma/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
23	138	7_8612	news.yandex.ru/Krasnodar	PaginatedSiteParser	https://news.yandex.ru/Krasnodar/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
24	139	7_3912	news.yandex.ru/Krasnoyarsk	PaginatedSiteParser	https://news.yandex.ru/Krasnoyarsk/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
25	140	7_35222	news.yandex.ru/Kurgan	PaginatedSiteParser	https://news.yandex.ru/Kurgan/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
26	141	7_4712	news.yandex.ru/Kursk	PaginatedSiteParser	https://news.yandex.ru/Kursk/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
27	142	7_4742	news.yandex.ru/Lipetsk	PaginatedSiteParser	https://news.yandex.ru/Lipetsk/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
28	143	7_41322	news.yandex.ru/Magadan	PaginatedSiteParser	https://news.yandex.ru/Magadan/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
29	144	7_495	news.yandex.ru/Moscow	PaginatedSiteParser	https://news.yandex.ru/Moscow/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
30	145	7_8152	news.yandex.ru/Murmansk	PaginatedSiteParser	https://news.yandex.ru/Murmansk/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
31	146	7_8312	news.yandex.ru/Nizhny_Novgorod	PaginatedSiteParser	https://news.yandex.ru/Nizhny_Novgorod/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
32	147	7_81622	news.yandex.ru/Veliky_Novgorod	PaginatedSiteParser	https://news.yandex.ru/Veliky_Novgorod/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
33	148	7_3832	news.yandex.ru/Novosibirsk	PaginatedSiteParser	https://news.yandex.ru/Novosibirsk/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
34	149	7_3812	news.yandex.ru/Omsk	PaginatedSiteParser	https://news.yandex.ru/Omsk/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
35	150	7_3532	news.yandex.ru/Orenburg	PaginatedSiteParser	https://news.yandex.ru/Orenburg/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
36	151	7_40151	news.yandex.ru/Orel	PaginatedSiteParser	https://news.yandex.ru/Orel/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
37	152	7_8412	news.yandex.ru/Penza	PaginatedSiteParser	https://news.yandex.ru/Penza/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
38	153	7_3422	news.yandex.ru/Perm	PaginatedSiteParser	https://news.yandex.ru/Perm/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
39	154	7_4232	news.yandex.ru/Vladivostok	PaginatedSiteParser	https://news.yandex.ru/Vladivostok/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
40	155	7_8112	news.yandex.ru/Pskov	PaginatedSiteParser	https://news.yandex.ru/Pskov/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
41	156	7_87722	news.yandex.ru/Maykop	PaginatedSiteParser	https://news.yandex.ru/Maykop/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
42	157	7_38822	news.yandex.ru/Gorno-Altaysk	PaginatedSiteParser	https://news.yandex.ru/Gorno-Altaysk/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
43	158	7_3472	news.yandex.ru/Ufa	PaginatedSiteParser	https://news.yandex.ru/Ufa/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
44	159	7_3012	news.yandex.ru/Ulan-Ude	PaginatedSiteParser	https://news.yandex.ru/Ulan-Ude/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
45	160	7_8722	news.yandex.ru/Makhachkala	PaginatedSiteParser	https://news.yandex.ru/Makhachkala/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
46	161	7_8142	news.yandex.ru/Petrozavodsk	PaginatedSiteParser	https://news.yandex.ru/Petrozavodsk/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
47	162	7_8212	news.yandex.ru/Syktyvkar	PaginatedSiteParser	https://news.yandex.ru/Syktyvkar/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
48	163	7_8362	news.yandex.ru/Yoshkar-Ola	PaginatedSiteParser	https://news.yandex.ru/Yoshkar-Ola/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
